reactor,ch4,co2,flow,day,gas,temp
R1,11.374,338.3,0.063,5,co2,20
R2,9.638,348.235,0.073,5,co2,20
R3,5.221,320.18,0.082,5,co2,20
R4,7.2,313.69,0.081,5,co2,20
R5,16,371.5,0.084,5,co2,30
R6,13,373.96,0.074,5,co2,30
R7,14.186,393.4,0.074,5,co2,30
R8,9.81,371,0.082,5,co2,30
R9,13.54,1077,0.065,5,ar,20
R10,13.6,1120.207,0.065,5,ar,20
R11,14.045,1130.56,0.054,5,ar,20
R12,26.7,1240,0.051,5,ar,20
R13,81.3,2022,0.064,5,ar,30
R14,98.2,2004,0.064,5,ar,30
R15,145.5,2394,0.052,5,ar,30
R16,60.8,2250,0.057,5,ar,30
bg,2.03,464.59,0.009,5,ar,30
R1,5.14,193,0.07475,12,co2,20
R2,28,225,0.06325,12,co2,20
R3,38.5,200,0.069,12,co2,20
R4,5,170,0.0713,12,co2,20
R5,267,930,0.0736,12,co2,30
R6,693,1995,0.0736,12,co2,30
R7,615,1922,0.0759,12,co2,30
R8,41,600,0.0736,12,co2,30
R9,33,1300,0.0713,12,ar,20
R10,17,1217,0.06555,12,ar,20
R11,29.3,1287,0.05865,12,ar,20
R12,31.9,1227,0.05405,12,ar,20
R13,140,2563,0.0552,12,ar,30
R14,106,2454,0.06785,12,ar,30
R15,83,2420,0.05865,12,ar,30
R16,264,3578.4,0.0483,12,ar,30
bg,2.04,448,0,12,ar,30
R1,45.5,230,0.07935,18,co2,20
R2,7.36,195,0.07705,18,co2,20
R3,55.25,252,0.0736,18,co2,20
R4,5.2,170,0.07015,18,co2,20
R5,124.8,440,0.062,18,co2,30
R6,62.4,385,0.0667,18,co2,30
R7,240,790,0.0736,18,co2,30
R8,126.9,600,0.07015,18,co2,30
R9,24.2,1080,0.069,18,ar,20
R10,35.8,1090,0.0598,18,ar,20
R11,25.8,1070,0.0575,18,ar,20
R12,37.6,995,0.0552,18,ar,20
R13,100.2,2000,0.0575,18,ar,30
R14,77.8,2085,0.05865,18,ar,30
R15,114,2601,0.0552,18,ar,30
R16,109.1,1890,0.05635,18,ar,30
bg,1.95,430,0,18,ar,30
R1,26.2,190,0.06555,25,co2,20
R2,25.4,220,0.06325,25,co2,20
R3,30.3,220,0.06325,25,co2,20
R4,26.6,200,0.06325,25,co2,20
R5,179.3,475,0.06325,25,co2,30
R6,72.9,397,0.06325,25,co2,30
R7,79.9,397,0.06555,25,co2,30
R8,70.6,403,0.06555,25,co2,30
R9,32.3,1160,0.05635,25,ar,20
R10,33.5,1109,0.0529,25,ar,20
R11,32.3,1020,0.05175,25,ar,20
R12,34.9,1086,0.0506,25,ar,20
R13,110.3,2100,0.0529,25,ar,30
R14,117.2,2200,0.05175,25,ar,30
R15,116.8,3100,0.0529,25,ar,30
R16,114.2,2520,0.0483,25,ar,30
R1,22.17,210,0.06095,32,co2,20
R2,22.7,222,0.06325,32,co2,20
R3,23.04,208,0.06325,32,co2,20
R4,25.64,210,0.0575,32,co2,20
R5,81.29,415,0.0644,32,co2,30
R6,70.05,365,0.06325,32,co2,30
R7,68.64,330,0.0667,32,co2,30
R8,70.39,356,0.06325,32,co2,30
R9,28.68,1030,0.0598,32,ar,20
R10,32.5,1087,0.05635,32,ar,20
R11,27.25,980,0.05635,32,ar,20
R12,31.4,1028,0.05405,32,ar,20
R13,126.6,2530,0.05635,32,ar,30
R14,123.3,2575,0.0575,32,ar,30
R15,128.9,2484,0.05865,32,ar,30
R16,137.4,2722,0.05405,32,ar,30
R1,20.33,197,0.0575,39,co2,20
R2,21.2,199.6,0.06325,39,co2,20
R3,21.24,193.5,0.06325,39,co2,20
R4,25.24,187,0.06325,39,co2,20
R5,73.01,355,0.06325,39,co2,30
R6,64.9,320,0.06325,39,co2,30
R7,71.5,304,0.06325,39,co2,30
R8,64.48,315.4,0.0575,39,co2,30
R9,28.49,1020,0.05865,39,ar,20
R10,31.37,1100,0.0552,39,ar,20
R11,25.34,998,0.0552,39,ar,20
R12,33.74,993.8,0.05405,39,ar,20
R13,133.7,2780,0.0552,39,ar,30
R14,131.3,2620,0.05635,39,ar,30
R15,141,2535,0.0575,39,ar,30
R16,128.5,2339,0.05405,39,ar,30
R1,22.77,205,0.05865,46,co2,20
R2,22.12,200,0.0575,46,co2,20
R3,21.77,197,0.0598,46,co2,20
R4,23.15,189,0.0598,46,co2,20
R5,68.01,295,0.0621,46,co2,30
R6,59.87,290,0.06095,46,co2,30
R7,66.98,282,0.0644,46,co2,30
R8,57.32,287,0.0644,46,co2,30
R9,27.35,1028,0.05865,46,ar,20
R10,31.96,1119,0.0552,46,ar,20
R11,27.23,1038,0.05635,46,ar,20
R12,33.7,1026,0.05405,46,ar,20
R13,143.228299253055,2517.73876045644,0.0552,46,ar,30
R14,142.097196367774,2336.97214939149,0.05635,46,ar,30
R15,144.426501462038,2358.94694883384,0.0575,46,ar,30
R16,126.951920446223,2297.32196778897,0.05405,46,ar,30
R1,12.5,236,0.05865,60,co2,20
R2,18.814,165.295,0.0575,60,co2,20
R3,19.077,129.488,0.0598,60,co2,20
R4,21.44,138.862,0.0598,60,co2,20
R5,59.727,221.376,0.0621,60,co2,30
R6,57.193,220.899,0.06095,60,co2,30
R7,159.006,269.715,0.0644,60,co2,30
R8,46.286,226.264,0.0644,60,co2,30
R9,29.37,1108.78,0.05865,60,ar,20
R10,33.162,1134.244,0.0552,60,ar,20
R11,30.713,1109.05,0.05635,60,ar,20
R12,30.841,1077.221,0.05405,60,ar,20
R13,168.54,2243.04,0.0552,60,ar,30
R14,176.68,2306.5,0.05635,60,ar,30
R15,164.455,2213.647,0.0575,60,ar,30
R16,167.44,2091.3,0.05405,60,ar,30
R1,15.21,160,0.05865,74,co2,20
R2,14.02,174.2,0.0575,74,co2,20
R3,10.5,228.3,0.0598,74,co2,20
R4,16.01,165.1,0.0598,74,co2,20
R5,52.09,238,0.0621,74,co2,30
R6,53.75,179.2,0.06095,74,co2,30
R7,55.66,253,0.0644,74,co2,30
R8,57,195.9,0.0644,74,co2,30
R9,27.29,1020,0.05865,74,ar,20
R10,31.6,1011,0.0552,74,ar,20
R11,26.99,983.5,0.05635,74,ar,20
R12,27.25,1035,0.05405,74,ar,20
R13,242.5,2069,0.0552,74,ar,30
R14,218.9,1830,0.05635,74,ar,30
R15,247.2,2000,0.0575,74,ar,30
R16,247.6,2065,0.05405,74,ar,30
R1,12.77,122.1,0.05865,88,co2,20
R2,13.52,129.2,0.0575,88,co2,20
R3,14.99,117.2,0.0598,88,co2,20
R4,15.05,120.2,0.0598,88,co2,20
R5,88.77,181,0.0621,88,co2,30
R6,67.87,166,0.06095,88,co2,30
R7,80.64,159.5,0.0644,88,co2,30
R8,71.54,177.8,0.0644,88,co2,30
R9,34,1054.7,0.05865,88,ar,20
R10,37.04,1028,0.0552,88,ar,20
R11,30.8,1010,0.05635,88,ar,20
R12,30.62,1053,0.05405,88,ar,20
R13,375.042,1984,0.0552,88,ar,30
R14,385,1959,0.05635,88,ar,30
R15,391.6,2016,0.0575,88,ar,30
R16,247.9,1530,0.05405,88,ar,30
R1,14.15,110,0.0738786279683377,115,co2,20
R2,15.63,125.4,0.070712401055409,115,co2,20
R3,13.9,125,0.0728232189973615,115,co2,20
R4,14.75,110,0.070712401055409,115,co2,20
R5,260,246,0.070712401055409,115,co2,30
R6,197,220,0.0717678100263852,115,co2,30
R7,258,232,0.0717678100263852,115,co2,30
R8,212.9,249.6,0.066490765171504,115,co2,30
R9,38,1130,0.0717678100263852,115,ar,20
R10,39,1186,0.066490765171504,115,ar,20
R11,35.29,1080,0.0654353562005277,115,ar,20
R12,34.58,1150,0.0633245382585752,115,ar,20
R13,936,1465,0.0643799472295514,115,ar,30
R14,826,1403,0.0654353562005277,115,ar,30
R15,712,1784,0.0654353562005277,115,ar,30
R16,848,1520,0.0580474934036939,115,ar,30
R1,13.78,112.3,0.0675461741424802,123,co2,20
R2,14.12,119.8,0.0675461741424802,123,co2,20
R3,13.19,105.2,0.0696569920844327,123,co2,20
R4,13.58,106.2,0.0675461741424802,123,co2,20
R5,386.3,288.9,0.0696569920844327,123,co2,30
R6,294,263.5,0.066490765171504,123,co2,30
R7,348.2,258.9,0.0717678100263852,123,co2,30
R8,314.7,296.6,0.0717678100263852,123,co2,30
R9,33.21,1083,0.0728232189973615,123,ar,20
R10,35.67,1110,0.0675461741424802,123,ar,20
R11,27.73,1008,0.0686015831134565,123,ar,20
R12,,,0.0654353562005277,123,ar,20
R13,,,0.066490765171504,123,ar,30
R14,954.3,1855,0.0686015831134565,123,ar,30
R15,816.3,1655,0.0686015831134565,123,ar,30
R16,899.1,1850,0.0633245382585752,123,ar,30
R1,13.94,102,0.0675461741424802,143,co2,20
R2,13.59,113,0.066490765171504,143,co2,20
R3,14.42,100,0.0675461741424802,143,co2,20
R4,14.04,98.9,0.066490765171504,143,co2,20
R5,712.5,423.3,0.0675461741424802,143,co2,30
R6,555.1,380.1,0.0696569920844327,143,co2,30
R7,677.6,400.5,0.070712401055409,143,co2,30
R8,574.1,406,0.0696569920844327,143,co2,30
R9,39.47,1195,0.070712401055409,143,ar,20
R10,41.89,1178,0.0654353562005277,143,ar,20
R11,36.66,1127,0.066490765171504,143,ar,20
R12,37.5,1296,0.0633245382585752,143,ar,20
R13,1153,2050,0.066490765171504,143,ar,30
R14,,,0.0686015831134565,143,ar,30
R15,874.7,1860,0.0759894459102902,143,ar,30
R16,1144,2115,0.0654353562005277,143,ar,30
R1,13.27,97.91,0.0675461741424802,157,co2,20
R2,15.48,113.1,0.066490765171504,157,co2,20
R3,12.72,93.03,0.0675461741424802,157,co2,20
R4,13.75,96.61,0.066490765171504,157,co2,20
R5,1138,650,0.0675461741424802,157,co2,30
R6,746.7,520,0.0696569920844327,157,co2,30
R7,934.9,574.6,0.070712401055409,157,co2,30
R8,924,647.5,0.0696569920844327,157,co2,30
R9,43.56,1264,0.070712401055409,157,ar,20
R10,44.26,1209,0.0654353562005277,157,ar,20
R11,40.54,1181,0.066490765171504,157,ar,20
R12,37.38,1206,0.0633245382585752,157,ar,20
R13,877.1,1625,0.066490765171504,157,ar,30
R14,851.2,1877,0.0686015831134565,157,ar,30
R15,888.7,1717,0.0759894459102902,157,ar,30
R16,1107,1804,0.0654353562005277,157,ar,30
R1,13.31,97.8,0.0675461741424802,171,co2,20
R2,13.78,109.7,0.066490765171504,171,co2,20
R3,11.6,91.75,0.0675461741424802,171,co2,20
R4,12.84,90.12,0.066490765171504,171,co2,20
R5,1150,660,0.0675461741424802,171,co2,30
R6,919.9,701.2,0.0696569920844327,171,co2,30
R7,1239,800,0.070712401055409,171,co2,30
R8,1059,705,0.0696569920844327,171,co2,30
R9,48,1231,0.070712401055409,171,ar,20
R10,47.8,1229,0.0654353562005277,171,ar,20
R11,44.19,1286,0.066490765171504,171,ar,20
R12,36.01,1147,0.0633245382585752,171,ar,20
R13,639.4,1402,0.066490765171504,171,ar,30
R14,565.7,1586,0.0686015831134565,171,ar,30
R15,787,1521,0.0759894459102902,171,ar,30
R16,965.6,1702,0.0654353562005277,171,ar,30
R1,11.32,95.34,0.074934036939314,185,co2,20
R2,10.96,106.5,0.0728232189973615,185,co2,20
R3,10.42,102,0.074934036939314,185,co2,20
R4,10.22,86.85,0.0728232189973615,185,co2,20
R5,1280,864.3,0.0612137203166227,185,co2,30
R6,1342,799.8,0.0696569920844327,185,co2,30
R7,1179,772.1,0.0759894459102902,185,co2,30
R8,998.2,704,0.0675461741424802,185,co2,30
R9,40.32,1039,0.070712401055409,185,ar,20
R10,48.7,1133,0.066490765171504,185,ar,20
R11,51.41,1199,0.066490765171504,185,ar,20
R13,388.4,1433,0.0559366754617414,185,ar,30
R14,494,1184,0.066490765171504,185,ar,30
R15,464.8,1332,0.062269129287599,185,ar,30
R16,791.1,1502,0.0538258575197889,185,ar,30
R1,,,0.0717678100263852,200,co2,20
R2,11.55,107.5,0.0686015831134565,200,co2,20
R3,10.55,80.24,0.070712401055409,200,co2,20
R4,10.35,77.5,0.0696569920844327,200,co2,20
R5,607.2,676.8,0.0654353562005277,200,co2,30
R6,769.3,710.5,0.0728232189973615,200,co2,30
R7,412.4,546.1,0.0591029023746702,200,co2,30
R8,491.8,693.1,0.0696569920844327,200,co2,30
R9,40.4,1007,0.0580474934036939,200,ar,20
R10,45.87,1097,0.066490765171504,200,ar,20
R11,41.33,1060,0.066490765171504,200,ar,20
R12,37.61,1060,0.0643799472295515,200,ar,20
R13,361,1288,0.0654353562005277,200,ar,30
R14,259.7,1236,0.066490765171504,200,ar,30
R15,315.8,1314,0.066490765171504,200,ar,30
R16,495.4,1379,0.0591029023746702,200,ar,30
R1,11.16,92,0.0717678100263852,220,co2,20
R2,11.29,101,0.070712401055409,220,co2,20
R3,10.59,89.52,0.0717678100263852,220,co2,20
R4,10.51,86,0.070712401055409,220,co2,20
R5,394.9,409.4,0.0717678100263852,220,co2,30
R6,423,374.2,0.0728232189973615,220,co2,30
R7,378.4,393,0.0738786279683377,220,co2,30
R8,168.2,313.3,0.0728232189973615,220,co2,30
R9,44.36,984.9,0.0738786279683377,220,ar,20
R10,54.08,1015,0.0686015831134565,220,ar,20
R11,41.21,969.4,0.0696569920844327,220,ar,20
R12,41.25,990.5,0.066490765171504,220,ar,20
R13,273.1,1200,0.0675461741424802,220,ar,30
R14,234.6,1088,0.0696569920844327,220,ar,30
R15,188.7,1160,0.0696569920844327,220,ar,30
R16,253,1210,0.0643799472295515,220,ar,30
R1,7.15,83,0.0717678100263852,234,co2,20
R2,9,96,0.070712401055409,234,co2,20
R3,7.7,80.5,0.0717678100263852,234,co2,20
R4,7.6,79,0.070712401055409,234,co2,20
R5,373.2,388.2,0.0717678100263852,234,co2,30
R6,378.9,394.3,0.0738786279683377,234,co2,30
R7,410.3,387.1,0.074934036939314,234,co2,30
R8,192.4,284,0.0728232189973615,234,co2,30
R9,42.8,985,0.0728232189973615,234,ar,20
R10,45.36,923,0.0738786279683377,234,ar,20
R11,44,918,0.0686015831134565,234,ar,20
R12,,,0.066490765171504,234,ar,20
R13,176.8,980,0.0591029023746702,234,ar,30
R14,167.1,1086,0.0580474934036939,234,ar,30
R15,142.5,1035,0.0643799472295515,234,ar,30
R16,157.3,1065,0.0601583113456464,234,ar,30
R1,8.88,78.12,0.0717678100263852,248,co2,20
R2,11.03,95.19,0.070712401055409,248,co2,20
R3,8.15,74.9,0.0717678100263852,248,co2,20
R4,8.8,77.5,0.070712401055409,248,co2,20
R5,393,395,0.0717678100263852,248,co2,30
R6,346,381.5,0.0738786279683377,248,co2,30
R7,408,392.5,0.074934036939314,248,co2,30
R8,299.2,301.3,0.0728232189973615,248,co2,30
R9,51.28,935,0.0728232189973615,248,ar,20
R10,47.85,921.5,0.0738786279683377,248,ar,20
R11,48.1,906.8,0.0686015831134565,248,ar,20
R12,,,0.066490765171504,248,ar,20
R13,119.4,919.2,0.0591029023746702,248,ar,30
R14,124.2,978,0.0580474934036939,248,ar,30
R15,169.1,956.2,0.0643799472295515,248,ar,30
R16,92.44,905,0.0601583113456464,248,ar,30
R1,10.1,92.2,0.0686015831134565,269,co2,20
R2,9.9,103.8,0.0675461741424802,269,co2,20
R3,10.15,97.44,0.0696569920844327,269,co2,20
R4,10.3,96.1,0.0696569920844327,269,co2,20
R5,411.8,397,0.070712401055409,269,co2,30
R6,372.7,394,0.0717678100263852,269,co2,30
R7,436.5,442,0.0728232189973615,269,co2,30
R8,427.7,453.4,0.0728232189973615,269,co2,30
R9,53.36,902.2,0.0717678100263852,269,ar,20
R10,60.53,950.1,0.0675461741424802,269,ar,20
R11,45.62,890.2,0.0686015831134565,269,ar,20
R12,48.77,1023,0.0612137203166227,269,ar,20
R13,129,887,0.0675461741424802,269,ar,30
R14,190.2,959.9,0.0686015831134565,269,ar,30
R15,81.58,921.5,0.0686015831134565,269,ar,30
R16,92.45,849.2,0.0591029023746702,269,ar,30
R1,10.46,101.9,0.0686015831134565,283,co2,20
R2,11.7,98.71,0.0675461741424802,283,co2,20
R3,10.07,90.47,0.0696569920844327,283,co2,20
R4,12.99,105.2,0.0696569920844327,283,co2,20
R5,475.5,407.4,0.070712401055409,283,co2,30
R6,402.7,384.9,0.0717678100263852,283,co2,30
R7,441.1,440,0.0728232189973615,283,co2,30
R8,526.9,640,0.0728232189973615,283,co2,30
R9,56.13,961.4,0.0717678100263852,283,ar,20
R10,55.36,982,0.0675461741424802,283,ar,20
R11,53.8,917.7,0.0686015831134565,283,ar,20
R12,59.15,1002,0.0612137203166227,283,ar,20
R13,48.32,858.3,0.0675461741424802,283,ar,30
R14,49.97,865.4,0.0686015831134565,283,ar,30
R15,45.26,837.2,0.0686015831134565,283,ar,30
R16,105.8,895,0.0591029023746702,283,ar,30
